Event Date,Event Name,Venue Name,Description,URL
2025-01-22,Miami Modern + Contemporary,Herald Plaza on Biscayne Bay,"one-line summary of the event: Showcasing an exceptionally curated array of international galleries presenting blue chip contemporary, post-war and modern masters as well as emerging and mid-career artists from the contemporary market.",https://www.miamimcfair.com/
2025-12-02,Art Miami VIP Preview,One Herald Plaza,"Miami’s original and longest running contemporary art fair and second most attended fair globally, consistently recognized as a leading destination for the acquisition of the most important works from the 20th and 21st centuries in collaboration with the world's most respected galleries.",https://www.artmiami.com/
2024-01-31,Things to Do,Miami,The best art galleries in Miami to get immersed in the city’s creative scene,https://www.timeout.com/miami/things-to-do/best-art-galleries-in-miami
2025-12-08T00:00:00Z,Design Miami 2025,Miami Design District,Design Miami 2025,https://designmiami.com/
2025-01-22,Miami Modern + Contemporary,One Herald Plaza,"Discover a new addition to Miami’s vibrant art scene as Miami Modern + Contemporary makes its debut at One Herald Plaza from January 22-26, 2025.",https://www.miamiandbeaches.com/event/miami-modern-contemporary/30424
"Dec 3, 2024–Mar 30, 2025",Lucy Bull: The Garden of Forking Paths,ICA Miami,Exhibitions at ICA Miami,https://icamiami.org/exhibitions/
2024-12-02,CULTURED,Pérez Art Museum Miami,"Map out your art agenda during Miami Art Week and beyond with See Saw Gallery Guide, featuring CULTURED's show recommendations and critics' picks.",https://www.culturedmag.com/article/2024/12/02/miami-exhibition-guide-must-see
"Dec. 1, 2024 – Jan. 2, 2025",Spectrum Miami,Mana Wynwood,Redwood Art Group's premier contemporary art fairs,https://redwoodartgroup.com/spectrum-miami/
"APR 06, 2025","Exhibition ""Ancient Futures"" at MOCA, North Miami featuring Jamea Richmond-Edwards, Dark Night of the Soul","Museum of Contemporary Art, North Miami",Art of Black's 10th Year Anniversary In Greater Miami & Miami Beach,https://www.miamiandbeaches.com/things-to-do/art-and-culture/art-of-black
2025-09-19,"Untitled Art, Houston",George R. Brown Convention Center,A leading contemporary art fair taking place annually on the sands of Miami Beach and Houston.,https://untitledartfairs.com/
2024-05-16T00:00:00+00:00,Cocaine Cowboys and Plastic Pink Flamingos Event,Various Venues,The best Miami arts and culture events and exhibits to see this summer 2024,https://www.timeout.com/miami/things-to-do/the-best-miami-arts-and-culture-events-and-exhibits-to-see-this-summer-2024
Not specified,Does collaboration with an art gallery increase the chances of selling artworks?,Not specified,Does collaboration with an art gallery increase the chances of selling artworks?,"https://artbidy.com/en/about-us/news/does-collaboration-with-an-art-gallery-increase-the-chances-of-selling-artworks#:~:text=The%20Role%20of%20Art%20Galleries%20in%20Building%20an%20Artist's%20Brand&text=Through%20collaboration%20with%20a%20gallery,work%20to%20a%20broader%20audience."
2024-07-12,MIAMI ART WEEK,Miami,Budding artists can relocate to Miami for its thriving art scene.,"https://artbusinessnews.com/2024/07/artists-is-making-a-move-to-miami-beneficial-for-your-career/#:~:text=Budding%20artists%20can%20relocate%20to,%2C%20galleries%2C%20and%20creative%20hubs."
2025-01-22,Miami Modern + Contemporary 2025,Miami Modern + Contemporary,,http://olivercolegallery.com/art_fairs
2025-12-05,Art Basel Miami 2025,Miami Beach,Art Basel Miami is a premier art fair that has earned a global reputation for showcasing the best in modern and contemporary art.,https://camperandnicholsons.com/magazine/art-basel-miami-2025
"November 13, 2024",Press Release 2024-2025,The Margulies Collection at the Warehouse,"MIAMI--Opening on November 13, 2024, the Margulies Collection will present a rare look at 21 never-before-seen to the Miami-public artworks from the 20th Century.",https://www.margulieswarehouse.com/press/press-release-2024-2025
2025-01-06,Opening,Pérez Art Museum Miami,Join us for the opening of our new exhibition featuring works by over 100 artists from around the world.,https://www.pamm.org/en/
2022-01-01,Art Basel,"Paris+ par Art Basel, Hong Kong Convention and Exhibition Centre, Basel Convention Centre",a group of international annual art fairs focused on contemporary art,"https://en.wikipedia.org/wiki/Art_Basel#:~:text=Art%20Basel%20is%20a%20for,)%2C%20Hong%20Kong%20and%20Paris."
2024-11-20,November Event,Biscayne Bay Tribune,"A Showcase of Art, Culture and Exclusive Experiences Are Accessible All Year Long on Miami Beach",https://communitynewspapers.com/biscayne-bay/a-showcase-of-art-culture-and-exclusive-experiences-are-accessible-all-year-long-on-miami-beach/
"December 1, 2024 – January 2, 2025",Red Dot Miami,Spectrum Miami & Mana Wynwood,Discover Redwood Art Group's premier contemporary art fairs,https://redwoodartgroup.com/red-dot-miami/
2023-12-13,Exploring Art Galleries in Miami,Oolite Arts,Greater Miami & Miami Beach is a dynamic destination for art and culture in large part thanks to its thriving and ever-changing contemporary gallery scene.,https://www.miamiandbeaches.com/things-to-do/art-and-culture/galleries/miami-art-galleries
"October 5, 2021",The Ten Best Art Galleries in Miami,Spinello Projects,"Spinello, Nina Johnson, Primary, and more of the city's best art galleries. By Carolina del Busto October 5, 2021",https://www.miaminewtimes.com/arts/ten-best-art-galleries-in-miami-13038113
2025-04-06,Andrea Chung: Between Too Late and Too Early,MOCA North Miami,,https://www.mocanomi.org/
Aug 16,How do I approach an art gallery with my art?,Quora,Approaching an art gallery with my art,https://www.quora.com/Is-there-an-appropriate-way-to-approach-art-galleries-with-the-aim-of-getting-a-show-representation
2024-12-08,[Miami Art Week 2024],[Various Venues in Miami],,https://www.forbes.com/sites/ericawertheimzohar/2024/11/27/the-complete-guide-to-2024-miami-art-week--the-events-art-and-parties/